0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,https://pro.relayto.com/khaled-gamal-rizk/secure-document-sharing-notification-irdzt6q108d0v,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,37,0,0,0,127,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vTl2eiaONYs8-CaLr-9DiWl1w6UaX8B4KAnJbH_5KasfDDVukmZbRHaP5gsqaHAEOOf0epTXW8rG8IF/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,4,1,13,4,0,0,0,152,0,2,1,132,0,0,0,0,0,0,13,0,0,0,0,22,0,https://sites.google.com/view/gmxlogin57/home,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,7,22,0,1,0,68,0,1,1,23,0,0,0,0,0,0,33,0,0,0,0,0,0,https://www.dropbox.com/l/AACgTtmVPeZ4j6-pQqmAH4qTNjUXR4hoOF8/report_abuse,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,104,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,https://l.ead.me/bfZu47,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,59,1,1,0,1080,0,3,2,4,0,0,0,0,0,0,3,1,0,0,0,1,0,https://bit.ly/4guxD7z,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,19,0,0,0,109,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQoXPrlmnp537ar3ZhPajyZRWoDovHBgUVWzbKEpihPl9ZbL5LtGzP9v5YXqY7eCrl3-3JHHXrweevm/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,37,0,0,0,127,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vTRmPOMBvsTn2b3pUFdzXyej3VbS1LelvyVS2T00lRDsghStPBmSWdJznVDHF4taprA-etVW8X9mLIz/pub?start=false&loop=false&delayms=3000&slide=id.p%3E,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://us7.campaign-archive.com/?u=ba47d9b8ed0ad16678c463852&id=c9d3b615b1,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,0,0,16,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,https://2fjdku.share-eu1.hsforms.com/2KuTJXKEkTyqTvFTql5IQEg,1
